transaction_id,account_id,amount,iso_currency_code,unofficial_currency_code,category,category_id,date,authorized_date,location_address,location_city,location_region,location_postal_code,location_country,location_lat,location_lon,name,merchant_name,payment_channel,pending,pending_transaction_id,account_owner,transaction_code
tx0049,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2024-10-27,2024-10-26,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0050,67890,75.00,USD,,["Services", "Education"],24000000,2024-10-28,2024-10-27,,,,,,,Udemy,Udemy,online,false,,,
tx0051,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2024-10-29,2024-10-28,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0052,67890,67.80,USD,,["Shops", "Groceries"],13001000,2024-10-30,2024-10-29,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0053,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-10-31,2024-10-31,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0054,67890,120.50,USD,,["Bills and Utilities", "Utilities"],18000000,2024-11-01,2024-11-01,456 Verizon Ave,San Francisco,CA,94103,US,37.7768,-122.4212,Verizon,Verizon,online,false,,,
tx0055,67890,18.50,USD,,["Recreation", "Entertainment"],19000000,2024-11-02,2024-11-01,,,,,,,Hulu,Hulu,online,false,,,
tx0056,67890,20.00,USD,,["Health", "Pharmacy"],15000000,2024-11-03,2024-11-02,456 Wellness Ave,San Francisco,CA,94103,US,37.7772,-122.4216,Walgreens,Walgreens,in store,false,,,
tx0057,67890,99.99,USD,,["Shops", "General Merchandise"],13002000,2024-11-04,2024-11-03,150 Target Dr,San Francisco,CA,94103,US,37.7775,-122.4219,Target Store,Target Store,in store,false,,,
tx0058,67890,50.00,USD,,["Travel", "Gas"],22002000,2024-11-05,2024-11-04,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0059,67890,40.50,USD,,["Shops", "Personal Care"],13006000,2024-11-06,2024-11-05,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0060,67890,150.00,USD,,["Services", "Education"],24000000,2024-11-07,2024-11-06,,,,,,,LinkedIn Learning,LinkedIn Learning,online,false,,,
tx0061,67890,9.99,USD,,["Food and Drink", "Restaurants"],13005000,2024-11-08,2024-11-07,789 Mission St,San Francisco,CA,94107,US,37.7751,-122.4196,Chipotle,Chipotle,in store,false,,,
tx0062,67890,32.10,USD,,["Shops", "Groceries"],13001000,2024-11-09,2024-11-08,300 Mission St,San Francisco,CA,94105,US,37.7762,-122.4206,Safeway,Safeway,in store,false,,,
tx0063,67890,450.00,USD,,["Travel", "Hotels"],22001000,2024-11-10,2024-11-09,1010 Howard St,San Francisco,CA,94103,US,37.7870,-122.3960,Marriott,Marriott,online,false,,,
tx0064,67890,75.25,USD,,["Bills and Utilities", "Utilities"],18000000,2024-11-11,2024-11-10,789 PG&E Blvd,San Francisco,CA,94107,US,37.7769,-122.4213,PG&E,PG&E,online,false,,,
tx0065,67890,11.00,USD,,["Recreation", "Entertainment"],19000000,2024-11-12,2024-11-11,,,,,,,AMC Theatres,AMC Theatres,online,false,,,
tx0066,67890,35.50,USD,,["Health", "Pharmacy"],15000000,2024-11-13,2024-11-12,789 Care Blvd,San Francisco,CA,94107,US,37.7773,-122.4217,Rite Aid,Rite Aid,in store,false,,,
tx0067,67890,150.25,USD,,["Shops", "General Merchandise"],13002000,2024-11-14,2024-11-13,250 Walmart Way,San Francisco,CA,94105,US,37.7776,-122.4220,Walmart,Walmart,in store,false,,,
tx0068,67890,42.75,USD,,["Travel", "Gas"],22002000,2024-11-15,2024-11-14,901 Energy St,San Francisco,CA,94109,US,37.7780,-122.4224,Exxon,Exxon,in store,false,,,
tx0069,67890,15.75,USD,,["Shops", "Personal Care"],13006000,2024-11-16,2024-11-15,300 Style Ave,San Francisco,CA,94105,US,37.7783,-122.4227,The Body Shop,The Body Shop,in store,false,,,
tx0070,67890,50.00,USD,,["Services", "Education"],24000000,2024-11-17,2024-11-16,,,,,,,Udemy,Udemy,online,false,,,
tx0071,67890,22.30,USD,,["Food and Drink", "Restaurants"],13005000,2024-11-18,2024-11-17,321 Castro St,San Francisco,CA,94110,US,37.7752,-122.4197,In-N-Out Burger,In-N-Out Burger,in store,false,,,
tx0072,67890,55.55,USD,,["Shops", "Groceries"],13001000,2024-11-19,2024-11-18,400 Van Ness Ave,San Francisco,CA,94109,US,37.7763,-122.4207,Kroger,Kroger,in store,false,,,
tx0073,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-11-20,2024-11-19,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0074,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2024-11-21,2024-11-20,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0075,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2024-11-22,2024-11-21,,,,,,,Spotify,Spotify,online,false,,,
tx0076,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2024-11-23,2024-11-22,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0077,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2024-11-24,2024-11-23,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0078,67890,60.00,USD,,["Travel", "Gas"],22002000,2024-11-25,2024-11-24,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0079,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2024-11-26,2024-11-25,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0080,67890,125.00,USD,,["Services", "Education"],24000000,2024-11-27,2024-11-26,,,,,,,Coursera,Coursera,online,false,,,
tx0081,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2024-11-28,2024-11-27,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0082,67890,45.20,USD,,["Shops", "Groceries"],13001000,2024-11-29,2024-11-28,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0083,67890,250.00,USD,,["Travel", "Airlines"],22000000,2024-11-30,2024-11-29,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0084,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2024-12-01,2024-12-01,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0085,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2024-12-02,2024-12-01,,,,,,,Netflix,Netflix,online,false,,,
tx0086,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2024-12-03,2024-12-02,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0087,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2024-12-04,2024-12-03,,,,,,,Amazon,Amazon,online,false,,,
tx0088,67890,35.00,USD,,["Travel", "Gas"],22002000,2024-12-05,2024-12-04,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0089,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2024-12-06,2024-12-05,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0090,67890,75.00,USD,,["Services", "Education"],24000000,2024-12-07,2024-12-06,,,,,,,Udemy,Udemy,online,false,,,
tx0091,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2024-12-08,2024-12-07,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0092,67890,67.80,USD,,["Shops", "Groceries"],13001000,2024-12-09,2024-12-08,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0093,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-12-10,2024-12-09,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0094,67890,120.50,USD,,["Bills and Utilities", "Utilities"],18000000,2024-12-11,2024-12-10,456 Verizon Ave,San Francisco,CA,94103,US,37.7768,-122.4212,Verizon,Verizon,online,false,,,
tx0095,67890,18.50,USD,,["Recreation", "Entertainment"],19000000,2024-12-12,2024-12-11,,,,,,,Hulu,Hulu,online,false,,,
tx0096,67890,20.00,USD,,["Health", "Pharmacy"],15000000,2024-12-13,2024-12-12,456 Wellness Ave,San Francisco,CA,94103,US,37.7772,-122.4216,Walgreens,Walgreens,in store,false,,,
tx0097,67890,99.99,USD,,["Shops", "General Merchandise"],13002000,2024-12-14,2024-12-13,150 Target Dr,San Francisco,CA,94103,US,37.7775,-122.4219,Target Store,Target Store,in store,false,,,
tx0098,67890,50.00,USD,,["Travel", "Gas"],22002000,2024-12-15,2024-12-14,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0099,67890,40.50,USD,,["Shops", "Personal Care"],13006000,2024-12-16,2024-12-15,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0100,67890,150.00,USD,,["Services", "Education"],24000000,2024-12-17,2024-12-16,,,,,,,LinkedIn Learning,LinkedIn Learning,online,false,,,
tx0101,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2024-12-18,2024-12-17,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0102,67890,45.20,USD,,["Shops", "Groceries"],13001000,2024-12-19,2024-12-18,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0103,67890,250.00,USD,,["Travel", "Airlines"],22000000,2024-12-20,2024-12-19,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0104,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2024-12-21,2024-12-20,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0105,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2024-12-22,2024-12-21,,,,,,,Netflix,Netflix,online,false,,,
tx0106,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2024-12-23,2024-12-22,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0107,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2024-12-24,2024-12-23,,,,,,,Amazon,Amazon,online,false,,,
tx0108,67890,35.00,USD,,["Travel", "Gas"],22002000,2024-12-25,2024-12-24,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0109,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2024-12-26,2024-12-25,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0110,67890,75.00,USD,,["Services", "Education"],24000000,2024-12-27,2024-12-26,,,,,,,Coursera,Coursera,online,false,,,
tx0111,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2024-12-28,2024-12-27,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0112,67890,67.80,USD,,["Shops", "Groceries"],13001000,2024-12-29,2024-12-28,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0113,67890,300.00,USD,,["Travel", "Airlines"],22000000,2024-12-30,2024-12-29,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0114,67890,120.50,USD,,["Bills and Utilities", "Utilities"],18000000,2024-12-31,2024-12-30,456 Verizon Ave,San Francisco,CA,94103,US,37.7768,-122.4212,Verizon,Verizon,online,false,,,
tx0115,67890,18.50,USD,,["Recreation", "Entertainment"],19000000,2025-01-01,2025-01-01,,,,,,,AMC Theatres,AMC Theatres,online,false,,,
tx0116,67890,20.00,USD,,["Health", "Pharmacy"],15000000,2025-01-02,2025-01-01,456 Wellness Ave,San Francisco,CA,94103,US,37.7772,-122.4216,Walgreens,Walgreens,in store,false,,,
tx0117,67890,99.99,USD,,["Shops", "General Merchandise"],13002000,2025-01-03,2025-01-02,150 Target Dr,San Francisco,CA,94103,US,37.7775,-122.4219,Target Store,Target Store,in store,false,,,
tx0118,67890,50.00,USD,,["Travel", "Gas"],22002000,2025-01-04,2025-01-03,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0119,67890,40.50,USD,,["Shops", "Personal Care"],13006000,2025-01-05,2025-01-04,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0120,67890,150.00,USD,,["Services", "Education"],24000000,2025-01-06,2025-01-05,,,,,,,Udemy,Udemy,online,false,,,
tx0121,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2025-01-07,2025-01-06,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0122,67890,45.20,USD,,["Shops", "Groceries"],13001000,2025-01-08,2025-01-07,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0123,67890,250.00,USD,,["Travel", "Airlines"],22000000,2025-01-09,2025-01-08,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0124,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2025-01-10,2025-01-09,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0125,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2025-01-11,2025-01-10,,,,,,,Netflix,Netflix,online,false,,,
tx0126,67890,10.00,USD,,["Health", "Pharmacy"],15000000,2025-01-12,2025-01-11,123 Health St,San Francisco,CA,94105,US,37.7771,-122.4215,CVS Pharmacy,CVS Pharmacy,in store,false,,,
tx0127,67890,55.00,USD,,["Shops", "General Merchandise"],13002000,2025-01-13,2025-01-12,,,,,,,Amazon,Amazon,online,false,,,
tx0128,67890,35.00,USD,,["Travel", "Gas"],22002000,2025-01-14,2025-01-13,789 Gas Rd,San Francisco,CA,94107,US,37.7778,-122.4222,Shell,Shell,in store,false,,,
tx0129,67890,25.00,USD,,["Shops", "Personal Care"],13006000,2025-01-15,2025-01-14,100 Beauty Ln,San Francisco,CA,94103,US,37.7781,-122.4225,Sephora,Sephora,in store,false,,,
tx0130,67890,75.00,USD,,["Services", "Education"],24000000,2025-01-16,2025-01-15,,,,,,,Coursera,Coursera,online,false,,,
tx0131,67890,15.75,USD,,["Food and Drink", "Restaurants"],13005000,2025-01-17,2025-01-16,456 Market St,San Francisco,CA,94103,US,37.7750,-122.4195,McDonald's,McDonald's,in store,false,,,
tx0132,67890,67.80,USD,,["Shops", "Groceries"],13001000,2025-01-18,2025-01-17,200 Castro St,San Francisco,CA,94114,US,37.7761,-122.4205,Trader Joe's,Trader Joe's,in store,false,,,
tx0133,67890,300.00,USD,,["Travel", "Airlines"],22000000,2025-01-19,2025-01-18,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,Delta Airlines,Delta Airlines,online,false,,,
tx0134,67890,110.10,USD,,["Bills and Utilities", "Utilities"],18000000,2025-01-20,2025-01-19,321 AT&T Rd,San Francisco,CA,94110,US,37.7770,-122.4214,AT&T,AT&T,online,false,,,
tx0135,67890,16.75,USD,,["Recreation", "Entertainment"],19000000,2025-01-21,2025-01-20,,,,,,,Spotify,Spotify,online,false,,,
tx0136,67890,27.99,USD,,["Health", "Pharmacy"],15000000,2025-01-22,2025-01-21,321 Pharmacy Rd,San Francisco,CA,94110,US,37.7774,-122.4218,Costco Pharmacy,Costco Pharmacy,in store,false,,,
tx0137,67890,80.45,USD,,["Shops", "General Merchandise"],13002000,2025-01-23,2025-01-22,350 Best Buy Blvd,San Francisco,CA,94107,US,37.7777,-122.4221,Best Buy,Best Buy,in store,false,,,
tx0138,67890,60.00,USD,,["Travel", "Gas"],22002000,2025-01-24,2025-01-23,890 Fuel Ave,San Francisco,CA,94108,US,37.7779,-122.4223,Chevron,Chevron,in store,false,,,
tx0139,67890,30.20,USD,,["Shops", "Personal Care"],13006000,2025-01-25,2025-01-24,200 Glam St,San Francisco,CA,94104,US,37.7782,-122.4226,Ulta,Ulta,in store,false,,,
tx0140,67890,125.00,USD,,["Services", "Education"],24000000,2025-01-26,2025-01-25,,,,,,,Udemy,Udemy,online,false,,,
tx0141,67890,12.50,USD,,["Food and Drink", "Restaurants"],13005000,2025-01-27,2025-01-26,123 Main St,San Francisco,CA,94105,US,37.7749,-122.4194,Taco Bell,Taco Bell,in store,false,,,
tx0142,67890,45.20,USD,,["Shops", "Groceries"],13001000,2025-01-28,2025-01-27,100 Market St,San Francisco,CA,94105,US,37.7760,-122.4204,Whole Foods,Whole Foods,in store,false,,,
tx0143,67890,250.00,USD,,["Travel", "Airlines"],22000000,2025-01-29,2025-01-28,Terminal 1 SFO Airport,San Francisco,CA,94128,US,37.6213,-122.3790,United Airlines,United Airlines,online,false,,,
tx0144,67890,90.00,USD,,["Bills and Utilities", "Utilities"],18000000,2025-01-30,2025-01-29,1 Comcast Center,San Francisco,CA,94105,US,37.7767,-122.4211,Comcast,Comcast,online,false,,,
tx0145,67890,14.99,USD,,["Recreation", "Entertainment"],19000000,2025-01-31,2025-01-30,,,,,,,Netflix,Netflix,online,false,,,
